"Book Report 2 (R1) "," Number of Successful Section Requests by Month and Title "
"MPI WG"
Date run:
"2010-01-06"
"","Publisher","Platform","ISBN","ISSN","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009","Nov-2009","Dec-2009","YTD Total"
"Biochemistry Calcium Signaling Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-597-3","",1,0,0,0,24,0,0,1,5,0,1,0,32
"Biochemistry Capillary Electrophoresis Guidebook: Principles, Operation, and Applications","Humana Press","SpringerProtocols","978-0-89603-315-3","",0,0,0,0,23,0,0,1,0,1,0,0,25
"Biochemistry Capillary Electrophoresis of Carbohydrates","Humana Press","SpringerProtocols","978-0-89603-826-4","",0,1,1,0,0,17,2,0,0,0,0,0,21
"Biochemistry Capillary Electrophoresis of Nucleic Acids: Volume I: Introduction to the Capillary Electrophoresis of Nucleic Acids","Humana Press","SpringerProtocols","978-0-89603-779-3","",0,1,0,0,34,0,1,0,0,0,0,0,36
"Biochemistry Capillary Electrophoresis of Nucleic Acids: Volume II: Practical Applications of Capillary Electrophoresis","Humana Press","SpringerProtocols","978-0-89603-765-6","",1,0,0,0,32,1,0,0,0,2,5,0,41
"Biochemistry Capillary Electrophoresis of Proteins and Peptides","Humana Press","SpringerProtocols","978-1-58829-017-5","",0,0,0,0,16,0,0,1,0,0,0,0,17
"Biochemistry Cell-Based Assays for High-Throughput Screening: Methods and Protocols","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Chemogenomics: Methods and Applications","Humana Press","SpringerProtocols","978-1-60761-273-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Chiral Separations: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-150-9","",0,0,3,0,2,25,27,0,0,0,0,2,59
"Biochemistry Clinical Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-837-9","",3,1,0,7,24,0,0,0,1,1,0,0,37
"Biochemistry Combinatorial Library: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-980-3","",0,0,0,0,24,0,2,1,1,0,0,1,29
"Biochemistry Cryopreservation and Freeze-Drying Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-377-0","",23,0,0,0,25,0,2,2,0,26,1,0,79
"Biochemistry Crystallographic Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-259-0","",15,0,1,0,2,15,26,0,0,0,1,1,61
"Biochemistry Cytochrome P45 Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-519-5","",0,3,0,0,49,1,0,0,0,1,1,0,55
"Biochemistry Cytochrome P45 Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-441-8","",1,2,0,3,38,0,2,0,0,0,0,0,46
"Biochemistry Eicosanoid Protocols","Humana Press","SpringerProtocols","978-0-89603-667-3","",0,0,1,1,0,18,0,0,0,0,0,0,20
"Biochemistry Electron Microscopy: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-573-6","",53,2,2,2,34,3,5,11,2,31,1,0,146
"Biochemistry Enzymatic Analysis: A Practical Guide","Humana Press","SpringerProtocols","978-0-89603-238-5","",0,0,1,0,1,12,0,0,0,0,0,0,14
"Biochemistry Epitope Mapping Protocols","Humana Press","SpringerProtocols","978-0-89603-375-7","",1,1,0,0,4,34,0,0,2,0,0,3,45
"Biochemistry Fluorescent Energy Transfer Nucleic Acid Probes: Designs and Protocols","Humana Press","SpringerProtocols","978-1-58829-380-0","",0,0,0,1,23,0,0,0,3,0,0,0,27
"Biochemistry Free Radical and Antioxidant Protocols","Humana Press","SpringerProtocols","978-0-89603-472-3","",2,0,0,2,46,0,0,0,0,45,0,0,95
"Biochemistry Free Radicals and Antioxidant Protocols","Humana Press","SpringerProtocols","978-1-58829-710-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Functional Glycomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-453-1","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Functional Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-971-0","",3,3,4,7,36,3,1,0,1,5,2,0,65
"Biochemistry Glycoanalysis Protocols","Humana Press","SpringerProtocols","978-0-89603-355-9","",0,4,1,0,15,0,0,1,0,0,0,0,21
"Biochemistry Glycobiology Protocols","Humana Press","SpringerProtocols","978-1-58829-553-8","",0,4,0,0,26,3,0,1,0,0,0,0,34
"Biochemistry Hormone Assays in Biological Fluids","Humana Press","SpringerProtocols","978-1-58829-005-2","",2,0,0,1,0,14,0,0,0,14,0,0,31
"Biochemistry Ion Channels: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-576-7","",0,6,4,0,16,0,0,2,0,0,0,0,28
"Biochemistry Lectin Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-396-2","",1,3,0,0,1,49,0,2,0,1,0,0,57
"Biochemistry Lipase and Phospholipase Protocols","Humana Press","SpringerProtocols","978-0-89603-546-1","",0,0,1,1,30,0,0,0,1,36,0,0,69
"Biochemistry Lipid Rafts","Humana Press","SpringerProtocols","978-1-58829-729-7","",0,0,3,3,20,0,0,1,0,0,2,1,30
"Biochemistry Lipid Signaling Protocols","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Liquid Chromatography In Clinical Analysis","Humana Press","SpringerProtocols","978-0-89603-026-8","",0,0,2,0,0,19,0,0,0,0,6,0,27
"Biochemistry MAP Kinase Signaling Protocols","Humana Press","SpringerProtocols","978-0-89603-998-8","",3,0,0,0,22,0,4,1,0,1,1,1,33
"Biochemistry Mass Spectrometry Data Analysis in Proteomics","Humana Press","SpringerProtocols","978-1-58829-563-7","",0,2,10,5,20,1,3,2,0,1,1,2,47
"Biochemistry Medical Biomethods Handbook","Humana Press","SpringerProtocols","978-1-58829-288-9","",4,0,3,3,2,44,1,0,2,1,2,0,62
"Biochemistry Membrane Trafficking","Humana Press","SpringerProtocols","978-1-58829-925-3","",0,0,0,0,0,0,0,0,1,0,0,0,1
"Biochemistry Methods in Biological Oxidative Stress","Humana Press","SpringerProtocols","978-0-89603-815-8","",0,3,2,0,0,24,1,0,0,0,0,0,30
"Biochemistry Methods in Membrane Lipids","Humana Press","SpringerProtocols","978-1-58829-662-7","",6,4,0,5,43,9,5,2,0,2,6,4,86
"Biochemistry Micro and Nano Technologies in Bioanalysis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-40-4","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Microfluidic Techniques: Reviews and Protocols","Humana Press","SpringerProtocols","978-1-58829-517-0","",1,3,0,1,0,19,0,1,0,0,0,0,25
"Biochemistry Microwave Techniques and Protocols","Humana Press","SpringerProtocols","978-0-89603-903-2","",0,0,1,0,0,17,1,0,0,0,0,0,19
"Biochemistry Molecular Biomethods Handbook - 1","Humana Press","SpringerProtocols","978-0-89603-501-0","",2,4,4,2,2,57,2,0,0,0,3,1,77
"Biochemistry Molecular Biomethods Handbook - 2","Humana Press","SpringerProtocols","978-1-60327-370-1","",10,10,13,9,9,69,2,0,2,0,7,1,132
"Biochemistry Natural Products Isolation - 1","Humana Press","SpringerProtocols","978-0-89603-362-7","",1,0,1,0,0,15,0,0,1,1,0,0,19
"Biochemistry Natural Products Isolation - 2","Humana Press","SpringerProtocols","978-1-58829-447-0","",1,2,0,1,0,19,0,0,0,0,0,1,24
"Biochemistry New Nucleic Acid Techniques","Humana Press","SpringerProtocols","978-0-89603-127-2","",3,2,2,1,44,2,0,0,0,46,1,1,102
"Biochemistry New and Emerging Proteomic Techniques","Humana Press","SpringerProtocols","978-1-58829-519-4","",0,0,0,1,15,0,0,0,0,0,0,1,17
"Biochemistry Nitric Oxide Protocols - 1","Humana Press","SpringerProtocols","978-0-89603-470-9","",0,0,2,0,30,0,1,1,0,0,0,0,34
"Biochemistry Nitric Oxide Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-237-7","",0,0,1,0,18,0,0,0,0,0,0,0,19
"Biochemistry Nucleic Acids","Humana Press","SpringerProtocols","978-0-89603-064-0","",1,0,3,4,56,3,0,0,0,56,4,17,144
"Biochemistry Oligonucleotide Synthesis","Humana Press","SpringerProtocols","978-1-58829-233-9","",0,3,0,0,0,26,0,1,0,0,1,1,32
"Biochemistry Organelle Proteomics","Humana Press","SpringerProtocols","978-1-58829-779-2","",1,1,8,7,30,1,0,1,0,18,1,16,84
"Biochemistry Oxidants and Antioxidants: Ultrastructure and Molecular Biology Protocols","Humana Press","SpringerProtocols","978-0-89603-851-6","",0,1,0,0,38,0,3,0,0,0,0,0,42
"Biochemistry Oxidative Stress Biomarkers and Antioxidant Protocols","Humana Press","SpringerProtocols","978-0-89603-850-9","",0,0,0,0,33,0,0,2,0,0,0,0,35
"Biochemistry Peptidomimetics Protocols","Humana Press","SpringerProtocols","978-0-89603-517-1","",0,0,0,0,0,30,0,0,0,0,0,0,30
"Biochemistry Phosphodiesterase Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-314-5","",0,0,0,0,23,0,2,1,0,0,0,0,26
"Biochemistry Phospholipid Signaling Protocols","Humana Press","SpringerProtocols","978-0-89603-491-4","",0,0,3,0,31,0,0,0,0,31,0,0,65
"Biochemistry Polyamine Protocols","Humana Press","SpringerProtocols","978-0-89603-448-8","",0,1,2,1,0,21,2,0,2,0,0,0,29
"Biochemistry Protocols for Nucleic Acid Analysis by Nonradioactive Probes - 1","Humana Press","SpringerProtocols","978-0-89603-254-5","",0,0,2,0,39,0,0,1,0,0,1,0,43
"Biochemistry Protocols for Nucleic Acid Analysis by Nonradioactive Probes - 2","Humana Press","SpringerProtocols","978-1-58829-430-2","",2,0,3,0,19,1,1,1,3,0,2,1,33
"Biochemistry Protocols for Oligonucleotide Conjugates: Synthesis and Analytical Techniques","Humana Press","SpringerProtocols","978-0-89603-252-1","",0,0,0,0,0,15,0,0,0,0,0,0,15
"Biochemistry Protocols for Oligonucleotides and Analogs: Synthesis and Properties","Humana Press","SpringerProtocols","978-0-89603-281-1","",0,1,0,0,1,19,1,0,0,1,0,0,23
"Biochemistry Pulsed-Field Gel Electrophoresis: Protocols, Methods, and Theories","Humana Press","SpringerProtocols","978-0-89603-229-3","",0,0,1,0,36,0,0,0,0,0,0,0,37
"Biochemistry Quantitative Proteomics by Mass Spectrometry","Humana Press","SpringerProtocols","978-1-58829-571-2","",1,3,0,1,0,15,1,0,0,4,3,2,30
"Biochemistry RNA Interference, Editing, and Modification: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-242-1","",3,2,1,2,27,1,0,0,0,3,0,0,39
"Biochemistry Ribozyme Protocols","Humana Press","SpringerProtocols","978-0-89603-389-4","",2,3,0,0,49,0,0,0,0,0,0,0,54
"Biochemistry Ribozymes and siRNA Protocols","Humana Press","SpringerProtocols","978-1-58829-226-1","",1,2,0,1,50,2,0,0,0,2,0,2,60
"Biochemistry SUMO Protocols","Humana Press","SpringerProtocols","978-1-934115-80-0","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry Structural Proteomics: High-Throughput Methods","Humana Press","SpringerProtocols","978-1-58829-809-6","",3,0,3,2,39,4,0,2,2,1,1,7,64
"Biochemistry Supercritical Fluid Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-571-3","",0,1,0,0,0,33,0,0,0,0,0,0,34
"Biochemistry The Nucleic Acid Protocols Handbook","Humana Press","SpringerProtocols","978-0-89603-459-4","",2,2,1,3,0,126,1,2,0,4,0,0,141
"Biochemistry Tissue Engineering","Humana Press","SpringerProtocols","978-1-58829-756-3","",0,2,3,0,1,18,0,0,1,0,3,0,28
"Biochemistry Tissue Engineering Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-516-4","",1,0,0,3,1,44,2,0,0,0,1,0,52
"Biochemistry Tissue Proteomics","Humana Press","SpringerProtocols","978-1-58829-679-5","",1,0,0,1,13,2,0,0,0,13,0,0,30
"Biochemistry Ubiquitin-Proteasome Protocols","Humana Press","SpringerProtocols","978-1-58829-252-0","",0,1,0,2,27,0,0,0,0,0,0,0,30
"Biochemistry Zebrafish: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-976-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biochemistry mRNA Processing and Metabolism: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-225-4","",0,0,1,0,37,0,0,0,0,0,1,1,40
"Bioinformatics Bioinformatics Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-732-8","",0,19,0,0,38,0,1,0,0,0,0,0,58
"Bioinformatics Bioinformatics and Drug Discovery","Humana Press","SpringerProtocols","978-1-58829-346-6","",0,2,0,0,16,1,1,1,0,1,0,2,24
"Bioinformatics Bioinformatics for DNA Sequence Analysis","Humana Press","SpringerProtocols","978-1-58829-910-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bioinformatics Bioinformatics: Data, Sequence Analysis and Evolution","Humana Press","SpringerProtocols","978-1-58829-707-5","",12,7,5,7,20,1,3,0,3,0,2,1,61
"Bioinformatics Bioinformatics: Structure, Function and Applications","Humana Press","SpringerProtocols","978-1-60327-428-9","",12,5,1,1,27,0,3,1,1,1,1,0,53
"Bioinformatics Biomedical Informatics","Humana Press","SpringerProtocols","978-1-934115-63-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bioinformatics Biostatistical Methods","Humana Press","SpringerProtocols","978-0-89603-951-3","",0,0,2,0,12,2,0,3,3,0,0,0,22
"Bioinformatics Chemoinformatics: Concepts, Methods, and Tools for Drug Discovery","Humana Press","SpringerProtocols","978-1-58829-261-2","",0,0,0,0,21,0,0,0,0,0,0,0,21
"Bioinformatics Clinical Bioinformatics","Humana Press","SpringerProtocols","978-1-58829-791-4","",2,3,0,0,2,18,0,1,0,0,0,0,26
"Bioinformatics Computational Systems Biology","Humana Press","SpringerProtocols","978-1-58829-905-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bioinformatics High Throughput Screening: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-889-9","",1,0,0,0,13,0,0,1,0,1,0,0,16
"Bioinformatics High Throughput Screening: Methods and Protocols, Second Edition","Humana Press","SpringerProtocols","978-1-60327-257-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Bioinformatics Metabolomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-561-3","",7,0,17,4,25,2,2,3,0,22,0,4,86
"Bioinformatics Microarrays in Clinical Diagnostics","Humana Press","SpringerProtocols","978-1-58829-394-7","",4,0,0,1,0,15,0,0,1,0,0,0,21
"Bioinformatics Microchip Capillary Electrophoresis: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-293-3","",2,2,0,0,15,2,0,0,1,0,0,0,22
"Bioinformatics Molecular Modeling of Proteins","Humana Press","SpringerProtocols","978-1-58829-864-5","",4,0,1,0,23,2,3,5,0,23,3,0,64
"Bioinformatics Proteome Bioinformatics","Humana Press","SpringerProtocols","978-1-60761-443-2","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biotechnology Affinity Biosensors: Techniques and Protocols","Humana Press","SpringerProtocols","978-0-89603-539-3","",0,16,1,0,0,15,0,0,0,0,0,0,32
"Biotechnology Animal Cell Biotechnology: Methods and Protocols - 1","Humana Press","SpringerProtocols","978-1-58829-660-3","",1,5,6,1,0,24,2,2,2,5,2,1,51
"Biotechnology Animal Cell Biotechnology: Methods and Protocols - 2","Humana Press","SpringerProtocols","978-0-89603-547-8","",0,0,2,0,0,23,1,0,0,0,1,0,27
"Biotechnology Aqueous Two-Phase Systems: Methods and Protocols: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-541-6","",1,1,0,2,3,40,44,0,0,2,0,0,93
"Biotechnology Biofuels: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-213-1","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biotechnology Bioremediation Protocols","Humana Press","SpringerProtocols","978-0-89603-437-2","",0,1,0,3,0,23,0,0,0,0,0,0,27
"Biotechnology Bioremediation: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60761-438-8","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biotechnology Carbohydrate Biotechnology Protocols","Humana Press","SpringerProtocols","978-0-89603-563-8","",0,0,0,0,0,29,1,0,1,0,3,1,35
"Biotechnology Drug Delivery Systems","Humana Press","SpringerProtocols","978-1-58829-891-1","",1,1,1,0,0,0,3,2,1,0,2,0,11
"Biotechnology Electroporation Protocols: Preclinical and Clinical Gene Medicine","Humana Press","SpringerProtocols","978-1-58829-877-5","",1,2,1,0,46,0,2,2,2,2,0,0,58
"Biotechnology High Content Screening: A Powerful Approach to Systems Cell Biology and Drug Discovery","Humana Press","SpringerProtocols","978-1-58829-731-0","",2,0,9,3,34,0,0,0,1,0,0,2,51
"Biotechnology Immobilization of Enzymes and Cells - 2","Humana Press","SpringerProtocols","978-1-58829-290-2","",0,0,0,3,2,70,0,1,1,0,0,0,77
"Biotechnology Microchip Methods in Diagnostics","Humana Press","SpringerProtocols","978-1-58829-955-0","",0,0,12,7,13,1,0,0,1,0,0,14,48
"Biotechnology Microengineering in Biotechnology","Humana Press","SpringerProtocols","978-1-58829-381-7","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Biotechnology Microinjection: Methods and Applications","Humana Press","SpringerProtocols","978-1-58829-884-3","",0,16,3,2,14,0,0,19,2,14,0,0,70
"Biotechnology Molecular Beacons: Signalling Nucleic Acid Probes, Methods, and Protocols","Humana Press","SpringerProtocols","978-1-58829-700-6","",0,1,0,4,18,0,0,0,0,0,0,0,23
"Biotechnology NanoBiotechnology Protocols","Humana Press","SpringerProtocols","978-1-58829-276-6","",8,1,1,0,25,0,0,1,0,1,0,0,37
"Biotechnology Nanostructure Design: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-35-0","",13,0,2,1,1,0,0,2,0,0,1,0,20
"Biotechnology Phytoremediation: Methods and Reviews","Humana Press","SpringerProtocols","978-1-58829-541-5","",0,0,0,2,1,31,3,0,0,0,0,0,37
"Biotechnology Pichia Protocols - 2","Humana Press","SpringerProtocols","978-1-58829-429-6","",6,8,10,5,4,0,2,0,2,1,2,2,42
"Biotechnology Quantum Dots: Applications in Biology","Humana Press","SpringerProtocols","978-1-58829-562-0","",8,0,0,7,19,6,2,2,1,19,0,1,65
"Biotechnology Yeast Protocols: Methods in Cell and Molecular Biology","Humana Press","SpringerProtocols","978-0-89603-319-1","",7,2,1,23,42,2,4,0,0,2,1,1,85
"Cancer Research Apoptosis and Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-457-9","",0,0,0,1,17,0,0,0,2,19,0,0,39
"Cancer Research Breast Cancer Researh Protocols","Humana Press","SpringerProtocols","978-1-58829-191-2","",0,0,0,0,0,37,0,0,3,0,0,1,41
"Cancer Research Cancer Cell Culture: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-079-3","",0,5,6,0,2,32,11,2,2,1,5,0,66
"Cancer Research Cancer Cell Signaling: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-075-5","",0,0,0,0,24,0,4,0,0,0,0,0,28
"Cancer Research Cancer Cytogenetics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-080-9","",0,0,0,0,18,1,0,0,0,0,0,0,19
"Cancer Research Cancer Epidemiology","Humana Press","SpringerProtocols","978-1-58829-987-1","",0,0,0,0,26,0,0,0,0,0,0,0,26
"Cancer Research Cancer Epidemiology: Modifiable Factors","Humana Press","SpringerProtocols","978-1-60327-491-3","",0,1,1,0,23,1,0,0,3,0,0,0,29
"Cancer Research Cancer Gene Profiling: Methods and Protocols","Humana Press","SpringerProtocols","978-1-934115-76-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Cancer Genomics and Proteomics: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-504-0","",0,2,3,4,24,1,1,0,1,25,0,5,66
"Cancer Research Cancer Stem Cells: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-938-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Checkpoint Controls and Cancer: Volume 1: Reviews and Model Systems","Humana Press","SpringerProtocols","978-1-58829-214-8","",0,0,0,0,18,0,0,0,0,0,0,0,18
"Cancer Research Checkpoint Controls and Cancer: Volume 2: Activation and Regulation Protocols","Humana Press","SpringerProtocols","978-1-58829-500-2","",4,0,0,1,26,3,2,0,0,0,0,0,36
"Cancer Research Chemosensitivity: Volume 1 In Vitro Assays","Humana Press","SpringerProtocols","978-1-58829-345-9","",1,0,2,1,0,18,0,1,1,1,0,0,25
"Cancer Research Chemosensitivity: Volume II: In VIVO Models, Imaging, and Molecular Regulators","Humana Press","SpringerProtocols","978-1-58829-586-6","",0,2,0,0,1,26,0,0,0,0,0,0,29
"Cancer Research Colorectal Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-767-0","",3,2,0,0,0,25,1,1,0,0,0,0,32
"Cancer Research Cytotoxic Drug Resistance Mechanisms","Humana Press","SpringerProtocols","978-0-89603-603-1","",0,0,0,0,0,20,0,0,0,0,0,0,20
"Cancer Research Gene Therapy of Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-714-4","",1,0,0,0,0,41,0,0,0,0,0,0,42
"Cancer Research Hepatocellular Carcinoma: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-785-4","",0,0,0,1,0,20,0,0,0,0,0,0,21
"Cancer Research Inflammation and Cancer: Methods and Protocols: Volume 1: Experimental Models and Practical Approaches","Humana Press","SpringerProtocols","978-1-934115-14-5","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Inflammation and Cancer: Methods and Protocols: Volume 2: Molecular Analysis and Pathways","Humana Press","SpringerProtocols","978-1-60327-529-3","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Leukemia: Methods and Protocols","Humana Press","SpringerProtocols","","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Lung Cancer: Volume 1: Molecular Pathology Methods and Reviews","Humana Press","SpringerProtocols","978-0-89603-985-8","",0,1,0,0,0,39,0,0,0,0,1,0,41
"Cancer Research Lung Cancer: Volume 2: Diagnostic and Therapeutic Methods and Reviews","Humana Press","SpringerProtocols","978-0-89603-920-9","",0,1,0,0,0,47,0,2,2,0,1,0,53
"Cancer Research Lymphoma: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-159-2","",0,0,0,0,0,17,0,0,0,0,0,0,17
"Cancer Research Melanoma Techniques and Protocols: Molecular Diagnosis, Treatment, and Monitoring","Humana Press","SpringerProtocols","978-0-89603-684-0","",0,0,0,0,2,17,0,0,0,0,0,0,19
"Cancer Research Metastasis Research Protocols: Volume I: Analysis of Cells and Tissues","Humana Press","SpringerProtocols","978-0-89603-610-9","",1,5,3,1,0,21,1,1,1,0,0,0,34
"Cancer Research Metastasis Research Protocols: Volume II: Analysis of Cell Behavior In Vitro and In Vivo","Humana Press","SpringerProtocols","978-0-89603-615-4","",1,2,1,1,0,22,7,2,0,3,0,0,39
"Cancer Research Molecular Analysis of Cancer","Humana Press","SpringerProtocols","978-0-89603-622-2","",0,0,0,0,1,20,0,0,0,0,0,0,21
"Cancer Research Molecular Diagnosis of Cancer","Humana Press","SpringerProtocols","978-0-89603-341-2","",0,0,0,0,0,16,0,0,0,0,0,0,16
"Cancer Research Molecular Diagnosis of Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-160-8","",0,0,3,0,0,28,0,0,0,1,0,0,32
"Cancer Research Multi-Drug Resistance in Cancer","Humana Press","SpringerProtocols","978-1-60761-415-9","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Multiple Myeloma: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-392-3","",2,0,0,0,0,23,0,1,0,0,0,0,26
"Cancer Research Myeloid Leukemia: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-485-2","",0,0,0,0,0,18,0,0,0,1,0,0,19
"Cancer Research Novel Anticancer Drug Protocols","Humana Press","SpringerProtocols","978-0-89603-963-6","",3,0,1,1,1,26,0,1,0,1,0,1,35
"Cancer Research Ovarian Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-583-6","",0,2,3,0,0,94,1,0,0,0,2,0,102
"Cancer Research Pancreatic Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-107-3","",1,0,1,2,0,20,0,0,0,0,0,0,24
"Cancer Research Prostate Cancer Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-978-0","",0,0,0,0,0,22,0,0,1,0,4,0,27
"Cancer Research Proteases and Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-002-1","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Recombinant Antibodies for Cancer Therapy: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-918-6","",2,1,0,0,28,0,0,0,0,0,0,0,31
"Cancer Research Renal Cancer: Methods and Protocols","Humana Press","SpringerProtocols","978-0-89603-828-8","",0,1,0,0,0,24,0,0,0,0,1,0,26
"Cancer Research Tumor Biomarker Discovery: Methods and Protocols","Humana Press","SpringerProtocols","978-1-60327-810-2","",0,0,0,0,0,0,0,0,0,0,0,0,0
"Cancer Research Tumor Marker Protocols","Humana Press","SpringerProtocols","978-0-89603-380-1","",0,0,0,0,0,30,0,0,0,0,1,0,31
"Cancer Research Tumor Necrosis Factor: Methods and Protocols","Humana Press","SpringerProtocols","978-1-58829-223-0","",0,0,0,0,0,19,0,0,0,2,0,0,21
